Time,SourceSatellite,TargetSatellite,Distance
2020-08-01 16:05:00,Sat1_6,Sat1_7,1971.9637837869213
2020-08-01 16:10:00,Sat1_6,Sat1_7,1971.9637837869195
2020-08-01 16:15:00,Sat1_6,Sat1_7,1971.9637837869186
2020-08-01 16:20:00,Sat1_6,Sat1_7,1971.963783786918
2020-08-01 16:25:00,Sat1_6,Sat1_7,1971.9637837869147
2020-08-01 16:30:00,Sat1_6,Sat1_7,1971.9163787083703
2020-08-01 16:00:00,Sat1_7,Sat2_7,673.0801451215177
2020-08-01 16:05:00,Sat1_7,Sat2_7,709.9226276600541
2020-08-01 16:10:00,Sat1_7,Sat2_7,760.3158598653152
2020-08-01 16:15:00,Sat1_7,Sat2_7,802.7869813731337
2020-08-01 16:20:00,Sat1_7,Sat2_7,821.8987267057283
2020-08-01 16:25:00,Sat1_7,Sat2_7,811.3619410359534
2020-08-01 16:30:00,Sat1_7,Sat2_7,774.5824142878239
2020-08-01 16:00:00,Sat1_7,Sat1_8,1971.9637837869213
2020-08-01 16:05:00,Sat1_7,Sat1_8,1971.96378378692
2020-08-01 16:10:00,Sat1_7,Sat1_8,1971.963783786922
2020-08-01 16:15:00,Sat1_7,Sat1_8,1971.9637837869245
2020-08-01 16:20:00,Sat1_7,Sat1_8,1971.9637837869266
2020-08-01 16:25:00,Sat1_7,Sat1_8,1971.9637837869254
2020-08-01 16:30:00,Sat1_7,Sat1_8,1971.9163787079224
2020-08-01 16:00:00,Sat1_8,Sat2_8,703.8677496515448
2020-08-01 16:05:00,Sat1_8,Sat2_8,753.7675365714377
2020-08-01 16:10:00,Sat1_8,Sat2_8,798.3265337479405
2020-08-01 16:15:00,Sat1_8,Sat2_8,821.0494080795185
2020-08-01 16:20:00,Sat1_8,Sat2_8,814.3948372518636
2020-08-01 16:25:00,Sat1_8,Sat2_8,780.5173524554399
2020-08-01 16:30:00,Sat1_8,Sat2_8,731.0901241463889
2020-08-01 16:00:00,Sat1_8,Sat1_9,1971.9637837869186
2020-08-01 16:05:00,Sat1_8,Sat1_9,1971.9637837869186
2020-08-01 16:10:00,Sat1_8,Sat1_9,1971.9637837869168
2020-08-01 16:15:00,Sat1_8,Sat1_9,1971.9637837869186
2020-08-01 16:20:00,Sat1_8,Sat1_9,1971.9637837869225
2020-08-01 16:25:00,Sat1_8,Sat1_9,1971.9637837869216
2020-08-01 16:30:00,Sat1_8,Sat1_9,1971.9163787074183
2020-08-01 16:00:00,Sat1_9,Sat2_9,747.1198116078691
2020-08-01 16:05:00,Sat1_9,Sat2_9,793.4815573051997
