Avg Flow Num,Threshold,Mean Total Cost,Std Dev Total Cost
150,100,24148.4,191.15606189707927
160,100,25476.4,171.166118142581
170,100,27462.2,115.49961038895326
180,100,28913.4,265.2022624337884
190,100,30751.2,432.9468327635623
200,100,32282.8,197.72445473436008
210,100,33804.8,259.6855020982111
220,100,35192.4,287.7099928747697
230,100,36987.8,129.23528929824082
240,100,38486.0,330.26231998216207
250,100,40029.4,236.03694626053777
