Avg Flow Num,Threshold,Mean Link Usage,Std Dev Link Usage
150,1,0.33349804523248683,0.004679004008626947
160,1,0.350624198206088,0.004651472151467272
170,1,0.36624755420825644,0.003849425538421191
180,1,0.3836803509470092,0.004310953214362071
190,1,0.40257906958591894,0.006102198618170932
200,1,0.41743534868431026,0.0012640076460498366
210,1,0.4361865810135007,0.005676220205332001
220,1,0.45060474044630505,0.004589404603982806
230,1,0.4603389758818631,0.003686446799301202
240,1,0.48162354926978435,0.0035570773211561026
250,1,0.49318252123850626,0.009887167514719807
