Avg Flow Num,Threshold,Mean Link Usage,Std Dev Link Usage
150,0,0.3356509873137006,0.004380124341799336
160,0,0.3527287288741812,0.0024295260398062225
170,0,0.37175236165953773,0.0055006569762639955
180,0,0.3862068760452222,0.001622396998660568
190,0,0.4057547841400752,0.005716685905858712
200,0,0.417887813956741,0.00416444889973041
210,0,0.436283257340348,0.005330362770961415
220,0,0.45347534820000046,0.0032445958005968474
230,0,0.4660596968642218,0.003918562726025266
240,0,0.48191544741902403,0.005338554248289531
250,0,0.4909598078412558,0.005899609044463611
