Avg Flow Num,Threshold,Mean Blocked Rate (%),Std Dev Blocked Rate (%),Mean Total Flows
40,0,0.06000000000000001,0.09165151389911681,1040.0
45,0,0.41,0.474236228055175,1170.0
50,0,1.56,0.7472616676907762,1300.0
55,0,2.94,0.9457272334029512,1430.0
60,0,4.97,0.9011659114724658,1560.0
65,0,6.36,1.0297572529484802,1690.0
70,0,9.149999999999999,0.9287087810503355,1820.0
75,0,10.850000000000001,1.2986531484580475,1950.0
80,0,12.809999999999999,1.0820813278122863,2080.0
40,1,0.22000000000000003,0.31559467676119,1040.0
45,1,0.33999999999999997,0.2727636339397171,1170.0
50,1,1.18,0.48538644398046393,1300.0
55,1,2.1599999999999997,0.8077128202523468,1430.0
60,1,4.01,0.93,1560.0
65,1,5.09,0.8300000000000001,1690.0
70,1,7.209999999999999,0.9299999999999999,1820.0
75,1,7.769999999999999,1.0909170454255446,1950.0
80,1,10.17,1.346142637315972,2080.0
40,2,0.13999999999999999,0.23748684174075832,1040.0
45,2,0.22000000000000003,0.22715633383201092,1170.0
50,2,0.4600000000000001,0.38000000000000006,1300.0
55,2,1.51,0.49889878733065685,1430.0
60,2,2.11,0.6862215385719105,1560.0
65,2,3.18,0.9631199302267605,1690.0
70,2,5.279999999999999,0.9130169768410662,1820.0
75,2,6.539999999999999,1.0489995233554683,1950.0
80,2,8.68,1.3555810562264434,2080.0
40,3,0.0,0.0,1040.0
45,3,0.22000000000000003,0.22715633383201092,1170.0
50,3,0.6,0.5422176684690383,1300.0
55,3,0.8200000000000001,0.6063002556489647,1430.0
60,3,1.7899999999999998,0.6774215821775978,1560.0
65,3,2.83,0.839106667831927,1690.0
70,3,3.84,0.7102112361825881,1820.0
75,3,5.550000000000001,1.2963410045200299,1950.0
80,3,6.840000000000001,1.269803134347998,2080.0
