Avg Flow Num,Threshold,Mean Blocked Rate (%),Std Dev Blocked Rate (%),Mean Total Flows
40,0,0.16,0.24979991993593595,1040.0
45,0,0.6,0.40987803063838396,1170.0
50,0,1.24,0.9254188241007419,1300.0
55,0,3.6399999999999997,0.9350935782048767,1430.0
60,0,4.84,1.3101144988129856,1560.0
65,0,6.910000000000001,1.5162123861781367,1690.0
70,0,8.89,1.3125928538583473,1820.0
75,0,10.55,1.840244548966251,1950.0
80,0,13.12,1.598624408671405,2080.0
40,1,0.45,0.5200961449578339,1040.0
45,1,0.73,0.6000833275470999,1170.0
50,1,1.1099999999999999,0.6122907805936654,1300.0
55,1,1.9,0.9423375191511797,1430.0
60,1,3.81,1.0014489502715553,1560.0
65,1,4.55,1.1646887996370534,1690.0
70,1,6.639999999999999,1.2379014500355023,1820.0
75,1,8.27,0.8087644898238299,1950.0
80,1,10.49,1.2020399327809372,2080.0
40,2,0.02,0.06,1040.0
45,2,0.24000000000000005,0.2727636339397171,1170.0
50,2,0.76,0.6390618123468182,1300.0
55,2,1.61,0.7489325737341113,1430.0
60,2,2.4200000000000004,1.3295111883696205,1560.0
65,2,3.45,1.478681845428556,1690.0
70,2,5.2700000000000005,1.0198529305738158,1820.0
75,2,6.470000000000001,1.295414991421668,1950.0
80,2,9.2,2.0523157651784483,2080.0
40,3,0.08,0.24,1040.0
45,3,0.27,0.3769615364994153,1170.0
50,3,0.67,0.4313930922024598,1300.0
55,3,0.95,0.4716990566028302,1430.0
60,3,1.58,1.1539497389401325,1560.0
65,3,2.7600000000000007,0.8416650165000326,1690.0
70,3,3.9200000000000004,0.6982836100038438,1820.0
75,3,4.9399999999999995,0.5332916650389352,1950.0
80,3,7.029999999999999,1.3957435294494471,2080.0
