Avg Flow Num,Threshold,Mean Link Usage,Std Dev Link Usage
150,2,0.32654006980468303,0.0038884441143528818
160,2,0.34705565761296975,0.002649687526004683
170,2,0.3684780402393305,0.004144505756372838
180,2,0.38715590371975706,0.004015071275340269
190,2,0.4043033921789772,0.0033505550604166047
200,2,0.4238297637681325,0.002371569902598999
210,2,0.43595384076499133,0.003679342128380339
220,2,0.4526801820422078,0.004864314230026358
230,2,0.46956350863748125,0.003571362545429793
240,2,0.48607012721247705,0.004680549573703038
250,2,0.49462806558734157,0.005652087635412061
