Avg Flow Num,Threshold,Mean Blocked Rate (%),Std Dev Blocked Rate (%)
150,2,0.68,0.16
160,2,1.12,0.2315167380558045
170,2,1.22,0.1469693845669906
180,2,1.9600000000000002,0.5462600113499066
190,2,2.56,0.2870540018881465
200,2,3.8200000000000003,0.5706137047074843
210,2,4.4,0.8074651695274541
220,2,4.8,0.4816637831516919
230,2,5.7,0.6324555320336761
240,2,6.58,0.5418486873657627
250,2,7.5,0.41472882706655434
