Avg Flow Num,Threshold,Mean Total Cost,Std Dev Total Cost
150,2,23705.4,147.70863211065225
160,2,25311.8,107.19029806843528
170,2,26847.2,289.58342494003347
180,2,28458.4,223.16146620776624
190,2,29678.8,142.76330060628328
200,2,31244.2,245.68549000704132
210,2,32268.4,130.77094478514712
220,2,33722.6,91.61135300823803
230,2,34975.0,230.84886830998326
240,2,36091.2,215.00269765749454
250,2,37244.0,288.67906054994705
