Avg Flow Num,Threshold,Mean Total Cost,Std Dev Total Cost
150,0,23736.0,315.50277336340486
160,0,25030.6,248.3180218993378
170,0,26630.2,317.0138167335928
180,0,27812.2,215.74744494431445
190,0,29088.2,152.49708193929482
200,0,29945.6,240.65377620141348
210,0,31412.4,304.87807399024285
220,0,32595.0,110.54410884348383
230,0,33837.8,416.43986360577924
240,0,34886.4,320.25027712712443
250,0,35662.0,290.292955477738
