Avg Flow Num,Threshold,Mean Link Usage,Std Dev Link Usage
150,100,0.2904081509044812,0.003382329499276842
160,100,0.3085155511933861,0.0021054823943508568
170,100,0.33042332199559343,0.0033109558075585257
180,100,0.34702542493969935,0.003549936500041596
190,100,0.3680642841646503,0.006833812309876743
200,100,0.38454832970994707,0.002167555011491767
210,100,0.4028168136620625,0.004029778745259921
220,100,0.4207016287792908,0.0019227515082043422
230,100,0.4436631578641791,0.004641896121071696
240,100,0.4597037413231549,0.003962658444921964
250,100,0.477329918479215,0.0032339009308080522
