Avg Flow Num,Threshold,Mean Total Cost,Std Dev Total Cost
150,1,23817.2,290.60378524719874
160,1,25221.2,230.1437811456134
170,1,26408.8,288.71882515693363
180,1,27868.4,289.93833827212296
190,1,29192.0,335.63611247897626
200,1,30282.0,175.51068343551054
210,1,31837.8,289.9140562304629
220,1,33007.8,173.72322815328985
230,1,33719.4,242.6261321457357
240,1,35324.2,212.90880676947114
250,1,36140.0,590.290436988437
