Time,Latitude,Longitude
1 Aug 2020 16:00:00.000000000,70.94490318465358,49.26109273526335
1 Aug 2020 16:05:00.000000000,56.37579132194155,48.14303568534744
1 Aug 2020 16:10:00.000000000,41.77163260164847,46.9490087997736
1 Aug 2020 16:15:00.000000000,27.12960997655594,45.7326358956236
1 Aug 2020 16:20:00.000000000,12.456549193409248,44.50756995751007
1 Aug 2020 16:25:00.000000000,-2.2326603819953306,43.27943048828299
1 Aug 2020 16:30:00.000000000,-16.918883172816304,42.05180765285899
1 Aug 2020 16:35:00.000000000,-31.58377153525626,40.828605004644615
1 Aug 2020 16:40:00.000000000,-46.21457187055544,39.616870252487644
1 Aug 2020 16:45:00.000000000,-60.807340942593825,38.43607246871069
1 Aug 2020 16:50:00.000000000,-75.36773458060162,37.38115281422702
1 Aug 2020 16:55:00.000000000,-89.86756549786679,83.02785094153674
1 Aug 2020 17:00:00.000000000,-75.54756482607311,-145.87578854995274
1 Aug 2020 17:05:00.000000000,-60.98750033920296,-146.92715807665292
1 Aug 2020 17:10:00.000000000,-46.39518489273091,-148.1073052697444
1 Aug 2020 17:15:00.000000000,-31.764850658105598,-149.31882184173404
1 Aug 2020 17:20:00.000000000,-17.100321553875336,-150.54193676971573
1 Aug 2020 17:25:00.000000000,-2.4142574947106725,-151.769531395435
1 Aug 2020 17:30:00.000000000,12.27503571737281,-152.99768481405488
1 Aug 2020 17:35:00.000000000,26.948400424826374,-154.2228152644932
1 Aug 2020 17:40:00.000000000,41.590867663891174,-155.43935011916452
1 Aug 2020 17:45:00.000000000,56.19549711121645,-156.6338195738774
1 Aug 2020 17:50:00.000000000,70.76498761520074,-157.75372123539958
1 Aug 2020 17:55:00.000000000,85.31029764675077,-158.09995363237147
1 Aug 2020 18:00:00.000000000,80.14829061011429,18.900392988836778
1 Aug 2020 18:05:00.000000000,65.59592305290992,17.99276594100231
1 Aug 2020 18:10:00.000000000,51.014858727797446,16.83356773676983
1 Aug 2020 18:15:00.000000000,36.39660136080619,15.628631076935765
1 Aug 2020 18:20:00.000000000,21.741895310720576,14.408128105503986
1 Aug 2020 18:25:00.000000000,7.060845640328375,13.181452875268878
1 Aug 2020 18:30:00.000000000,-7.629561944524817,11.953112430379111
1 Aug 2020 18:35:00.000000000,-22.30987549654989,10.72657781459338
1 Aug 2020 18:40:00.000000000,-36.963302823846874,9.506448835736643
1 Aug 2020 18:45:00.000000000,-51.58007048336508,8.302471179079495
1 Aug 2020 18:50:00.000000000,-66.15981228812635,7.146552216982693
1 Aug 2020 18:55:00.000000000,-80.71133505402238,6.267813492692176
1 Aug 2020 19:00:00.000000000,-84.7474506301726,-176.63876295335092
1 Aug 2020 19:05:00.000000000,-70.2014269791606,-177.10412228573537
1 Aug 2020 19:10:00.000000000,-55.630739089032545,-178.2295451759056
1 Aug 2020 19:15:00.000000000,-41.024632546368395,-179.42536333203176
1 Aug 2020 19:20:00.000000000,-26.38077975629933,179.3576050937018
1 Aug 2020 19:25:00.000000000,-11.706478275437968,178.13227705569392
1 Aug 2020 19:30:00.000000000,2.9830575144480855,176.90408300450267
1 Aug 2020 19:35:00.000000000,17.668605908336154,175.67658037749834
1 Aug 2020 19:40:00.000000000,32.33199701107952,174.45374695620401
1 Aug 2020 19:45:00.000000000,46.960867551530185,173.24293136112598
1 Aug 2020 19:50:00.000000000,61.55176808689935,172.06489219409127
1 Aug 2020 19:55:00.000000000,76.11081507983818,171.02534427523892
1 Aug 2020 20:00:00.000000000,89.3400208140964,-19.098018196794452
