Country,Region,Population,Internet Users,% of Population,,
Indonesia,Asia,278268685,212354070,76.31,5424080321,0.039150244
Iran,Middle East,85777708,78086663,91.03,5424080321,0.014396295
Iraq,Middle East,41752172,31027400,74.31,5424080321,0.005720306
Ireland,Europe,5028959,4626642,92,5424080321,0.000852982
Israel,Middle East,8881612,7993450,90,5424080321,0.001473697
Italy,Europe,60318716,54798299,90.85,5424080321,0.010102782
Jamaica,America,2982070,2027807,68,5424080321,0.000373853
Japan,Asia,127202192,118626672,93.26,5424080321,0.021870375
Jersey,Europe,104817,87900,83.86,5424080321,1.62E-05
Jordan,Middle East,10370272,8700000,83.89,5424080321,0.001603959
Kazakhstan,Asia,19146252,16465777,86,5424080321,0.003035681
Kenya,Africa,55752020,46870422,84.07,5424080321,0.008641174
Kiribati,Oceania,122510,61100,49.87,5424080321,1.13E-05
"Korea, North",Asia,25961763,20000,0.08,5424080321,3.69E-06
"Korea, South",Asia,51340112,49799909,97,5424080321,0.009181263
Kosovo,Europe,1873366,1693942,90.42,5424080321,0.0003123
Kuwait,Middle East,4375865,4332106,99,5424080321,0.00079868
Kyrgystan,Asia,6703015,3683700,54.96,5424080321,0.000679138
Laos,Asia,7450212,4287200,57.54,5424080321,0.000790401
Latvia,Europe,1853288,1663739,89.77,5424080321,0.000306732
Lebanon,Middle East,6776509,5692267,84,5424080321,0.001049444
Lesotho,Africa,2169819,682990,31.48,5424080321,0.000125918
Liberia,Africa,5257162,784500,14.92,5424080321,0.000144633
Libya,Africa,7024811,6658900,94.79,5424080321,0.001227655
Liechtenstein,Europe,38306,38306,100,5424080321,7.06E-06
Lithuania,Europe,2662697,2603900,97.79,5424080321,0.000480063
Luxembourg,Europe,642995,636565,99,5424080321,0.000117359
Macao,Asia,663951,632175,95.21,5424080321,0.00011655
Madagascar,Africa,28427328,2864000,10.07,5424080321,0.000528016
Malawi,Africa,19647684,2717243,13.83,5424080321,0.000500959
Malaysia,Asia,33049551,30987000,93.76,5424080321,0.005712858
Maldives,Asia,556398,446300,80.21,5424080321,8.23E-05
Mali,Africa,20855735,12480176,59.84,5424080321,0.002300883
Malta,Europe,443991,478900,107.86,5424080321,8.83E-05
"Man, Isle of",Europe,85768,71200,83.01,5424080321,1.31E-05
Marshall Islands,Oceania,59846,25000,41.77,5424080321,4.61E-06
Martinique,America,374799,303302,80.92,5424080321,5.59E-05
Mauritania,Africa,4775119,969519,20.3,5424080321,0.000178743
Mauritius,Africa,1273433,919000,72.17,5424080321,0.00016943
Mayotte (FR),Africa,279515,107940,38.62,5424080321,1.99E-05
